Operator,Working set,Memory use,MACs
resnet50_1/conv4_block1_2_relu_1/Relu;resnet50_1/conv4_block1_2_bn_1/batchnorm/add_1;resnet50_1/conv4_block1_2_conv_1/convolution;,146 147 148,1204224,115605504
resnet50_1/conv4_block1_3_bn_1/batchnorm/add_1;resnet50_1/conv4_block1_3_conv_1/convolution;,146 148 149,1806336,51380224
resnet50_1/conv4_block1_out_1/Relu;resnet50_1/conv4_block1_add_1/Add,146 149 150,2408448,200704
resnet50_1/conv4_block2_1_relu_1/Relu;resnet50_1/conv4_block2_1_bn_1/batchnorm/add_1;resnet50_1/conv4_block2_1_conv_1/convolution;,150 151,1003520,51380224
resnet50_1/conv4_block2_2_relu_1/Relu;resnet50_1/conv4_block2_2_bn_1/batchnorm/add_1;resnet50_1/conv4_block2_2_conv_1/convolution;,150 151 152,1204224,115605504
resnet50_1/conv4_block2_3_bn_1/batchnorm/add_1;resnet50_1/conv4_block2_3_conv_1/convolution;,150 152 153,1806336,51380224
resnet50_1/conv4_block2_out_1/Relu;resnet50_1/conv4_block2_add_1/Add,150 153 154,2408448,200704
resnet50_1/conv4_block3_1_relu_1/Relu;resnet50_1/conv4_block3_1_bn_1/batchnorm/add_1;resnet50_1/conv4_block3_1_conv_1/convolution;,154 155,1003520,51380224
resnet50_1/conv4_block3_2_relu_1/Relu;resnet50_1/conv4_block3_2_bn_1/batchnorm/add_1;resnet50_1/conv4_block3_2_conv_1/convolution;,154 155 156,1204224,115605504
resnet50_1/conv4_block3_3_bn_1/batchnorm/add_1;resnet50_1/conv4_block3_3_conv_1/convolution;,154 156 157,1806336,51380224
resnet50_1/conv4_block3_out_1/Relu;resnet50_1/conv4_block3_add_1/Add,154 157 158,2408448,200704
resnet50_1/conv4_block4_1_relu_1/Relu;resnet50_1/conv4_block4_1_bn_1/batchnorm/add_1;resnet50_1/conv4_block4_1_conv_1/convolution;,158 159,1003520,51380224
resnet50_1/conv4_block4_2_relu_1/Relu;resnet50_1/conv4_block4_2_bn_1/batchnorm/add_1;resnet50_1/conv4_block4_2_conv_1/convolution;,158 159 160,1204224,115605504
resnet50_1/conv4_block4_3_bn_1/batchnorm/add_1;resnet50_1/conv4_block4_3_bn_1/batchnorm/mul_1;;resnet50_1/conv4_block4_3_conv_1/BiasAdd;resnet50_1/conv4_block4_3_conv_1/convolution,158 160 161,1806336,51380224
resnet50_1/conv4_block4_out_1/Relu;resnet50_1/conv4_block4_add_1/Add,158 161 162,2408448,200704
resnet50_1/conv4_block5_1_relu_1/Relu;resnet50_1/conv4_block5_1_bn_1/batchnorm/add_1;resnet50_1/conv4_block5_1_conv_1/convolution;,162 163,1003520,51380224
resnet50_1/conv4_block5_2_relu_1/Relu;resnet50_1/conv4_block5_2_bn_1/batchnorm/add_1;resnet50_1/conv4_block5_2_conv_1/convolution;,162 163 164,1204224,115605504
resnet50_1/conv4_block5_3_bn_1/batchnorm/add_1;resnet50_1/conv4_block5_3_bn_1/batchnorm/mul_1;;resnet50_1/conv4_block5_3_conv_1/BiasAdd;resnet50_1/conv4_block5_3_conv_1/convolution,162 164 165,1806336,51380224
resnet50_1/conv4_block5_out_1/Relu;resnet50_1/conv4_block5_add_1/Add,162 165 166,2408448,200704
resnet50_1/conv4_block6_1_relu_1/Relu;resnet50_1/conv4_block6_1_bn_1/batchnorm/add_1;resnet50_1/conv4_block6_1_conv_1/convolution;,166 167,1003520,51380224
resnet50_1/conv4_block6_2_relu_1/Relu;resnet50_1/conv4_block6_2_bn_1/batchnorm/add_1;resnet50_1/conv4_block6_2_conv_1/convolution;,166 167 168,1204224,115605504
resnet50_1/conv4_block6_3_bn_1/batchnorm/add_1;resnet50_1/conv4_block6_3_conv_1/convolution;,166 168 169,1806336,51380224
resnet50_1/conv4_block6_out_1/Relu;resnet50_1/conv4_block6_add_1/Add,166 169 170,2408448,200704
resnet50_1/conv5_block1_0_bn_1/batchnorm/add_1;resnet50_1/conv5_block1_0_conv_1/convolution;,170 171,1204224,102760448
resnet50_1/conv5_block1_1_relu_1/Relu;resnet50_1/conv5_block1_1_bn_1/batchnorm/add_1;resnet50_1/conv5_block1_1_conv_1/convolution;,170 171 172,1304576,25690112
resnet50_1/conv5_block1_2_relu_1/Relu;resnet50_1/conv5_block1_2_bn_1/batchnorm/add_1;resnet50_1/conv5_block1_2_conv_1/convolution;,171 172 173,602112,115605504
resnet50_1/conv5_block1_3_bn_1/batchnorm/add_1;resnet50_1/conv5_block1_3_conv_1/convolution;,171 173 174,903168,51380224
resnet50_1/conv5_block1_out_1/Relu;resnet50_1/conv5_block1_add_1/Add,171 174 175,1204224,100352
resnet50_1/conv5_block2_1_relu_1/Relu;resnet50_1/conv5_block2_1_bn_1/batchnorm/add_1;resnet50_1/conv5_block2_1_conv_1/convolution;,175 176,501760,51380224
