Id,Name,Shape,Size
171,resnet50_1/conv5_block1_0_bn_1/batchnorm/add_1;resnet50_1/conv5_block1_0_conv_1/convolution;,1 7 7 2048,401408
172,resnet50_1/conv5_block1_1_relu_1/Relu;resnet50_1/conv5_block1_1_bn_1/batchnorm/add_1;resnet50_1/conv5_block1_1_conv_1/convolution;,1 7 7 512,100352
173,resnet50_1/conv5_block1_2_relu_1/Relu;resnet50_1/conv5_block1_2_bn_1/batchnorm/add_1;resnet50_1/conv5_block1_2_conv_1/convolution;,1 7 7 512,100352
174,resnet50_1/conv5_block1_3_bn_1/batchnorm/add_1;resnet50_1/conv5_block1_3_conv_1/convolution;,1 7 7 2048,401408
175,resnet50_1/conv5_block1_out_1/Relu;resnet50_1/conv5_block1_add_1/Add,1 7 7 2048,401408
176,resnet50_1/conv5_block2_1_relu_1/Relu;resnet50_1/conv5_block2_1_bn_1/batchnorm/add_1;resnet50_1/conv5_block2_1_conv_1/convolution;,1 7 7 512,100352
177,resnet50_1/conv5_block2_2_relu_1/Relu;resnet50_1/conv5_block2_2_bn_1/batchnorm/add_1;resnet50_1/conv5_block2_2_conv_1/convolution;,1 7 7 512,100352
178,resnet50_1/conv5_block2_3_bn_1/batchnorm/add_1;resnet50_1/conv5_block2_3_conv_1/convolution;,1 7 7 2048,401408
179,resnet50_1/conv5_block2_out_1/Relu;resnet50_1/conv5_block2_add_1/Add,1 7 7 2048,401408
180,resnet50_1/conv5_block3_1_relu_1/Relu;resnet50_1/conv5_block3_1_bn_1/batchnorm/add_1;resnet50_1/conv5_block3_1_conv_1/convolution;,1 7 7 512,100352
181,resnet50_1/conv5_block3_2_relu_1/Relu;resnet50_1/conv5_block3_2_bn_1/batchnorm/add_1;resnet50_1/conv5_block3_2_conv_1/convolution;,1 7 7 512,100352
182,resnet50_1/conv5_block3_3_bn_1/batchnorm/add_1;resnet50_1/conv5_block3_3_conv_1/convolution;,1 7 7 2048,401408
183,resnet50_1/conv5_block3_out_1/Relu;resnet50_1/conv5_block3_add_1/Add,1 7 7 2048,401408
184,resnet50_1/avg_pool_1/Mean,1 2048,8192
185,resnet50_1/predictions_1/MatMul;resnet50_1/predictions_1/BiasAdd,1 1000,4000
186,StatefulPartitionedCall_1:0,1 1000,4000
