Id,Name,Shape,Size
152,MobileNetV3Small_1/expanded_conv_4_squeeze_excite_relu_1/Relu;MobileNetV3Small_1/expanded_conv_4_squeeze_excite_conv_1/BiasAdd;MobileNetV3Small_1/expanded_conv_4_squeeze_excite_conv_1/convolution;,1 1 1 64,256
153,MobileNetV3Small_1/re_lu_7_1/Relu6;MobileNetV3Small_1/Add_2;MobileNetV3Small_1/expanded_conv_4_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Small_1/expanded_conv_4_squeeze_excite_conv_1_2/convolution;,1 1 1 240,960
154,MobileNetV3Small_1/Mul_2,1 1 1 240,960
155,MobileNetV3Small_1/expanded_conv_4_squeeze_excite_mul_1/Mul,1 1 1 240,960
156,MobileNetV3Small_1/expanded_conv_4_project_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_4_project_1/convolution;,1 1 1 40,160
157,MobileNetV3Small_1/expanded_conv_4_add_1/Add,1 1 1 40,160
158,MobileNetV3Small_1/expanded_conv_5_expand_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_5_expand_1/convolution;,1 1 1 240,960
159,MobileNetV3Small_1/activation_5_1/mul;;MobileNetV3Small_1/activation_5_1/Relu6;MobileNetV3Small_1/activation_5_1/add;MobileNetV3Small_1/activation_5_1/truediv,1 1 1 240,960
160,MobileNetV3Small_1/expanded_conv_5_depthwise_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_5_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Small_1/expanded_conv_5_depthwise_1/depthwise;,1 1 1 240,960
161,MobileNetV3Small_1/activation_6_1/mul;;MobileNetV3Small_1/activation_6_1/Relu6;MobileNetV3Small_1/activation_6_1/add;MobileNetV3Small_1/activation_6_1/truediv,1 1 1 240,960
162,MobileNetV3Small_1/expanded_conv_5_squeeze_excite_avg_pool_1/Mean,1 1 1 240,960
163,MobileNetV3Small_1/expanded_conv_5_squeeze_excite_relu_1/Relu;MobileNetV3Small_1/expanded_conv_5_squeeze_excite_conv_1/BiasAdd;MobileNetV3Small_1/expanded_conv_5_squeeze_excite_conv_1/convolution;,1 1 1 64,256
164,MobileNetV3Small_1/re_lu_8_1/Relu6;MobileNetV3Small_1/Add_3;MobileNetV3Small_1/expanded_conv_5_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Small_1/expanded_conv_5_squeeze_excite_conv_1_2/convolution;,1 1 1 240,960
165,MobileNetV3Small_1/Mul_3,1 1 1 240,960
166,MobileNetV3Small_1/expanded_conv_5_squeeze_excite_mul_1/Mul,1 1 1 240,960
167,MobileNetV3Small_1/expanded_conv_5_project_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_5_project_1/convolution;,1 1 1 40,160
168,MobileNetV3Small_1/expanded_conv_5_add_1/Add,1 1 1 40,160
169,MobileNetV3Small_1/expanded_conv_6_expand_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_6_expand_1/convolution;,1 1 1 120,480
170,MobileNetV3Small_1/activation_7_1/mul;;MobileNetV3Small_1/activation_7_1/Relu6;MobileNetV3Small_1/activation_7_1/add;MobileNetV3Small_1/activation_7_1/truediv,1 1 1 120,480
171,MobileNetV3Small_1/expanded_conv_6_depthwise_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_6_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Small_1/expanded_conv_6_depthwise_1/depthwise;,1 1 1 120,480
172,MobileNetV3Small_1/activation_8_1/mul;;MobileNetV3Small_1/activation_8_1/Relu6;MobileNetV3Small_1/activation_8_1/add;MobileNetV3Small_1/activation_8_1/truediv,1 1 1 120,480
173,MobileNetV3Small_1/expanded_conv_6_squeeze_excite_avg_pool_1/Mean,1 1 1 120,480
174,MobileNetV3Small_1/expanded_conv_6_squeeze_excite_relu_1/Relu;MobileNetV3Small_1/expanded_conv_6_squeeze_excite_conv_1/BiasAdd;MobileNetV3Small_1/expanded_conv_6_squeeze_excite_conv_1/convolution;,1 1 1 32,128
175,MobileNetV3Small_1/re_lu_9_1/Relu6;MobileNetV3Small_1/Add_4;MobileNetV3Small_1/expanded_conv_6_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Small_1/expanded_conv_6_squeeze_excite_conv_1_2/convolution;,1 1 1 120,480
176,MobileNetV3Small_1/Mul_4,1 1 1 120,480
177,MobileNetV3Small_1/expanded_conv_6_squeeze_excite_mul_1/Mul,1 1 1 120,480
178,MobileNetV3Small_1/expanded_conv_6_project_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_6_project_1/convolution;,1 1 1 48,192
179,MobileNetV3Small_1/expanded_conv_7_expand_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_7_expand_1/convolution;,1 1 1 144,576
180,MobileNetV3Small_1/activation_9_1/mul;;MobileNetV3Small_1/activation_9_1/Relu6;MobileNetV3Small_1/activation_9_1/add;MobileNetV3Small_1/activation_9_1/truediv,1 1 1 144,576
181,MobileNetV3Small_1/expanded_conv_7_depthwise_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_7_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Small_1/expanded_conv_7_depthwise_1/depthwise;,1 1 1 144,576
182,MobileNetV3Small_1/activation_10_1/mul;;MobileNetV3Small_1/activation_10_1/Relu6;MobileNetV3Small_1/activation_10_1/add;MobileNetV3Small_1/activation_10_1/truediv,1 1 1 144,576
183,MobileNetV3Small_1/expanded_conv_7_squeeze_excite_avg_pool_1/Mean,1 1 1 144,576
184,MobileNetV3Small_1/expanded_conv_7_squeeze_excite_relu_1/Relu;MobileNetV3Small_1/expanded_conv_7_squeeze_excite_conv_1/BiasAdd;MobileNetV3Small_1/expanded_conv_7_squeeze_excite_conv_1/convolution;,1 1 1 40,160
185,MobileNetV3Small_1/re_lu_10_1/Relu6;MobileNetV3Small_1/Add_5;MobileNetV3Small_1/expanded_conv_7_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Small_1/expanded_conv_7_squeeze_excite_conv_1_2/convolution;,1 1 1 144,576
186,MobileNetV3Small_1/Mul_5,1 1 1 144,576
187,MobileNetV3Small_1/expanded_conv_7_squeeze_excite_mul_1/Mul,1 1 1 144,576
188,MobileNetV3Small_1/expanded_conv_7_project_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_7_project_1/convolution;,1 1 1 48,192
189,MobileNetV3Small_1/expanded_conv_7_add_1/Add,1 1 1 48,192
190,MobileNetV3Small_1/expanded_conv_8_expand_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_8_expand_1/convolution;,1 1 1 288,1152
191,MobileNetV3Small_1/activation_11_1/mul;;MobileNetV3Small_1/activation_11_1/Relu6;MobileNetV3Small_1/activation_11_1/add;MobileNetV3Small_1/activation_11_1/truediv,1 1 1 288,1152
192,MobileNetV3Small_1/expanded_conv_8_depthwise_pad_1/Pad,1 1 1 288,1152
193,MobileNetV3Small_1/expanded_conv_8_depthwise_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_8_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Small_1/expanded_conv_8_depthwise_1/depthwise;,1 1 1 288,1152
194,MobileNetV3Small_1/activation_12_1/mul;;MobileNetV3Small_1/activation_12_1/Relu6;MobileNetV3Small_1/activation_12_1/add;MobileNetV3Small_1/activation_12_1/truediv,1 1 1 288,1152
195,MobileNetV3Small_1/expanded_conv_8_squeeze_excite_avg_pool_1/Mean,1 1 1 288,1152
196,MobileNetV3Small_1/expanded_conv_8_squeeze_excite_relu_1/Relu;MobileNetV3Small_1/expanded_conv_8_squeeze_excite_conv_1/BiasAdd;MobileNetV3Small_1/expanded_conv_8_squeeze_excite_conv_1/convolution;,1 1 1 72,288
197,MobileNetV3Small_1/re_lu_11_1/Relu6;MobileNetV3Small_1/Add_6;MobileNetV3Small_1/expanded_conv_8_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Small_1/expanded_conv_8_squeeze_excite_conv_1_2/convolution;,1 1 1 288,1152
198,MobileNetV3Small_1/Mul_6,1 1 1 288,1152
199,MobileNetV3Small_1/expanded_conv_8_squeeze_excite_mul_1/Mul,1 1 1 288,1152
200,MobileNetV3Small_1/expanded_conv_8_project_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_8_project_1/convolution;,1 1 1 96,384
201,MobileNetV3Small_1/expanded_conv_9_expand_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_9_expand_1/convolution;,1 1 1 576,2304
202,MobileNetV3Small_1/activation_13_1/mul;;MobileNetV3Small_1/activation_13_1/Relu6;MobileNetV3Small_1/activation_13_1/add;MobileNetV3Small_1/activation_13_1/truediv,1 1 1 576,2304
203,MobileNetV3Small_1/expanded_conv_9_depthwise_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_9_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Small_1/expanded_conv_9_depthwise_1/depthwise;,1 1 1 576,2304
204,MobileNetV3Small_1/activation_14_1/mul;;MobileNetV3Small_1/activation_14_1/Relu6;MobileNetV3Small_1/activation_14_1/add;MobileNetV3Small_1/activation_14_1/truediv,1 1 1 576,2304
205,MobileNetV3Small_1/expanded_conv_9_squeeze_excite_avg_pool_1/Mean,1 1 1 576,2304
206,MobileNetV3Small_1/expanded_conv_9_squeeze_excite_relu_1/Relu;MobileNetV3Small_1/expanded_conv_9_squeeze_excite_conv_1/BiasAdd;MobileNetV3Small_1/expanded_conv_9_squeeze_excite_conv_1/convolution;,1 1 1 144,576
207,MobileNetV3Small_1/re_lu_12_1/Relu6;MobileNetV3Small_1/Add_7;MobileNetV3Small_1/expanded_conv_9_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Small_1/expanded_conv_9_squeeze_excite_conv_1_2/convolution;,1 1 1 576,2304
208,MobileNetV3Small_1/Mul_7,1 1 1 576,2304
209,MobileNetV3Small_1/expanded_conv_9_squeeze_excite_mul_1/Mul,1 1 1 576,2304
210,MobileNetV3Small_1/expanded_conv_9_project_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_9_project_1/convolution;,1 1 1 96,384
211,MobileNetV3Small_1/expanded_conv_9_add_1/Add,1 1 1 96,384
212,MobileNetV3Small_1/expanded_conv_10_expand_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_10_expand_1/convolution;,1 1 1 576,2304
213,MobileNetV3Small_1/activation_15_1/mul;;MobileNetV3Small_1/activation_15_1/Relu6;MobileNetV3Small_1/activation_15_1/add;MobileNetV3Small_1/activation_15_1/truediv,1 1 1 576,2304
214,MobileNetV3Small_1/expanded_conv_10_depthwise_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_10_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Small_1/expanded_conv_10_depthwise_1/depthwise;,1 1 1 576,2304
215,MobileNetV3Small_1/activation_16_1/mul;;MobileNetV3Small_1/activation_16_1/Relu6;MobileNetV3Small_1/activation_16_1/add;MobileNetV3Small_1/activation_16_1/truediv,1 1 1 576,2304
216,MobileNetV3Small_1/expanded_conv_10_squeeze_excite_avg_pool_1/Mean,1 1 1 576,2304
217,MobileNetV3Small_1/expanded_conv_10_squeeze_excite_relu_1/Relu;MobileNetV3Small_1/expanded_conv_10_squeeze_excite_conv_1/BiasAdd;MobileNetV3Small_1/expanded_conv_10_squeeze_excite_conv_1/convolution;,1 1 1 144,576
218,MobileNetV3Small_1/re_lu_13_1/Relu6;MobileNetV3Small_1/Add_8;MobileNetV3Small_1/expanded_conv_10_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Small_1/expanded_conv_10_squeeze_excite_conv_1_2/convolution;,1 1 1 576,2304
219,MobileNetV3Small_1/Mul_8,1 1 1 576,2304
220,MobileNetV3Small_1/expanded_conv_10_squeeze_excite_mul_1/Mul,1 1 1 576,2304
221,MobileNetV3Small_1/expanded_conv_10_project_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_10_project_1/convolution;,1 1 1 96,384
222,MobileNetV3Small_1/expanded_conv_10_add_1/Add,1 1 1 96,384
223,MobileNetV3Small_1/conv_1_bn_1/batchnorm/add_1;MobileNetV3Small_1/conv_1_2/convolution;,1 1 1 576,2304
224,MobileNetV3Small_1/activation_17_1/mul;;MobileNetV3Small_1/activation_17_1/Relu6;MobileNetV3Small_1/activation_17_1/add;MobileNetV3Small_1/activation_17_1/truediv,1 1 1 576,2304
225,MobileNetV3Small_1/global_average_pooling2d_1/Mean,1 1 1 576,2304
226,MobileNetV3Small_1/conv_2_1/BiasAdd;MobileNetV3Small_1/conv_2_1/convolution;,1 1 1 1024,4096
227,MobileNetV3Small_1/activation_18_1/mul;;MobileNetV3Small_1/activation_18_1/Relu6;MobileNetV3Small_1/activation_18_1/add;MobileNetV3Small_1/activation_18_1/truediv,1 1 1 1024,4096
228,MobileNetV3Small_1/logits_1/BiasAdd;MobileNetV3Small_1/logits_1/convolution;,1 1 1 1000,4000
229,MobileNetV3Small_1/flatten_1/Reshape,1 1000,4000
230,StatefulPartitionedCall_1:0,1 1000,4000
