Id,Name,Shape,Size
302,functional_15_1/tf_conv_7_1/sequential_3_1/conv2d_7_1/BiasAdd;functional_15_1/tf_conv_7_1/sequential_3_1/conv2d_7_1/convolution;functional_15_1/tf_conv_7_1/sequential_3_1/conv2d_7_1/Squeeze,1 80 80 64,1638400
303,functional_15_1/tf_conv_7_1/Sigmoid,1 80 80 64,1638400
304,functional_15_1/tf_conv_7_1/mul_1,1 80 80 64,1638400
305,functional_15_1/tfc3_1_2/tf_conv_8_1/conv2d_8_1/BiasAdd;functional_15_1/tfc3_1_2/tf_conv_8_1/conv2d_8_1/convolution;,1 80 80 32,819200
306,functional_15_1/tfc3_1_2/tf_conv_8_1/Sigmoid,1 80 80 32,819200
307,functional_15_1/tfc3_1_2/tf_conv_8_1/mul_1,1 80 80 32,819200
308,functional_15_1/tfc3_1_2/sequential_4_1/tf_bottleneck_1_1/tf_conv_11_1/conv2d_11_1/BiasAdd;functional_15_1/tfc3_1_2/sequential_4_1/tf_bottleneck_1_1/tf_conv_11_1/conv2d_11_1/convolution;,1 80 80 32,819200
309,functional_15_1/tfc3_1_2/sequential_4_1/tf_bottleneck_1_1/tf_conv_11_1/Sigmoid,1 80 80 32,819200
310,functional_15_1/tfc3_1_2/sequential_4_1/tf_bottleneck_1_1/tf_conv_11_1/mul_1,1 80 80 32,819200
311,functional_15_1/tfc3_1_2/sequential_4_1/tf_bottleneck_1_1/tf_conv_12_1/conv2d_12_1/BiasAdd;functional_15_1/tfc3_1_2/sequential_4_1/tf_bottleneck_1_1/tf_conv_12_1/conv2d_12_1/convolution;,1 80 80 32,819200
312,functional_15_1/tfc3_1_2/sequential_4_1/tf_bottleneck_1_1/tf_conv_12_1/Sigmoid,1 80 80 32,819200
313,functional_15_1/tfc3_1_2/sequential_4_1/tf_bottleneck_1_1/tf_conv_12_1/mul_1,1 80 80 32,819200
314,functional_15_1/tfc3_1_2/sequential_4_1/tf_bottleneck_1_1/add,1 80 80 32,819200
315,functional_15_1/tfc3_1_2/sequential_4_1/tf_bottleneck_2_1/tf_conv_13_1/conv2d_13_1/BiasAdd;functional_15_1/tfc3_1_2/sequential_4_1/tf_bottleneck_2_1/tf_conv_13_1/conv2d_13_1/convolution;,1 80 80 32,819200
316,functional_15_1/tfc3_1_2/sequential_4_1/tf_bottleneck_2_1/tf_conv_13_1/Sigmoid,1 80 80 32,819200
317,functional_15_1/tfc3_1_2/sequential_4_1/tf_bottleneck_2_1/tf_conv_13_1/mul_1,1 80 80 32,819200
318,functional_15_1/tfc3_1_2/sequential_4_1/tf_bottleneck_2_1/tf_conv_14_1/conv2d_14_1/BiasAdd;functional_15_1/tfc3_1_2/sequential_4_1/tf_bottleneck_2_1/tf_conv_14_1/conv2d_14_1/convolution;,1 80 80 32,819200
319,functional_15_1/tfc3_1_2/sequential_4_1/tf_bottleneck_2_1/tf_conv_14_1/Sigmoid,1 80 80 32,819200
320,functional_15_1/tfc3_1_2/sequential_4_1/tf_bottleneck_2_1/tf_conv_14_1/mul_1,1 80 80 32,819200
321,functional_15_1/tfc3_1_2/sequential_4_1/tf_bottleneck_2_1/add,1 80 80 32,819200
322,functional_15_1/tfc3_1_2/tf_conv_9_1/conv2d_9_1/BiasAdd;functional_15_1/tfc3_1_2/tf_conv_9_1/conv2d_9_1/convolution;,1 80 80 32,819200
323,functional_15_1/tfc3_1_2/tf_conv_9_1/Sigmoid,1 80 80 32,819200
324,functional_15_1/tfc3_1_2/tf_conv_9_1/mul_1,1 80 80 32,819200
325,functional_15_1/tfc3_1_2/concat,1 80 80 64,1638400
326,functional_15_1/tfc3_1_2/tf_conv_10_1/conv2d_10_1/BiasAdd;functional_15_1/tfc3_1_2/tf_conv_10_1/conv2d_10_1/convolution;,1 80 80 64,1638400
327,functional_15_1/tfc3_1_2/tf_conv_10_1/Sigmoid,1 80 80 64,1638400
328,functional_15_1/tfc3_1_2/tf_conv_10_1/mul_1,1 80 80 64,1638400
329,functional_15_1/tf_conv_15_1/sequential_5_1/tf_pad_3_1/Pad,1 82 82 64,1721344
330,functional_15_1/tf_conv_15_1/sequential_5_1/conv2d_15_1/BiasAdd;functional_15_1/tf_conv_15_1/sequential_5_1/conv2d_15_1/convolution;functional_15_1/tf_conv_15_1/sequential_5_1/conv2d_15_1/Squeeze,1 40 40 128,819200
