Id,Name,Shape,Size
401,efficientnetv2-s_1/block3d_expand_activation_1/Sigmoid,1 48 48 256,2359296
402,efficientnetv2-s_1/block3d_expand_activation_1/mul_1,1 48 48 256,2359296
403,efficientnetv2-s_1/block3d_project_bn_1/batchnorm/add_1;efficientnetv2-s_1/block3d_project_conv_1/convolution;efficientnetv2-s_1/block3d_project_bn_1/batchnorm/sub,1 48 48 64,589824
404,efficientnetv2-s_1/block3d_add_1/Add,1 48 48 64,589824
405,efficientnetv2-s_1/block4a_expand_bn_1/batchnorm/add_1;efficientnetv2-s_1/block4a_expand_conv_1/convolution;efficientnetv2-s_1/block4a_expand_bn_1/batchnorm/sub,1 48 48 256,2359296
406,efficientnetv2-s_1/block4a_expand_activation_1/Sigmoid,1 48 48 256,2359296
407,efficientnetv2-s_1/block4a_expand_activation_1/mul_1,1 48 48 256,2359296
408,efficientnetv2-s_1/block4a_bn_1/batchnorm/add_1;efficientnetv2-s_1/block4a_bn_1/batchnorm/mul_1;efficientnetv2-s_1/block4a_dwconv2_1/depthwise;efficientnetv2-s_1/block4a_bn_1/batchnorm/mul;efficientnetv2-s_1/block4a_bn_1/batchnorm/sub,1 24 24 256,589824
409,efficientnetv2-s_1/block4a_activation_1/Sigmoid,1 24 24 256,589824
410,efficientnetv2-s_1/block4a_activation_1/mul_1,1 24 24 256,589824
411,efficientnetv2-s_1/block4a_se_squeeze_1/Mean,1 256,1024
412,efficientnetv2-s_1/block4a_se_reshape_1/Shape,2,8
413,efficientnetv2-s_1/block4a_se_reshape_1/strided_slice,,4
414,efficientnetv2-s_1/block4a_se_reshape_1/Reshape/shape,4,16
415,efficientnetv2-s_1/block4a_se_reshape_1/Reshape,1 1 1 256,1024
416,efficientnetv2-s_1/block4a_se_reduce_1/BiasAdd;efficientnetv2-s_1/block4a_se_reduce_1/convolution;efficientnetv2-s_1/block4a_se_reduce_1/Squeeze,1 1 1 16,64
417,efficientnetv2-s_1/block4a_se_reduce_1/Sigmoid,1 1 1 16,64
418,efficientnetv2-s_1/block4a_se_reduce_1/mul_1,1 1 1 16,64
419,efficientnetv2-s_1/block4a_se_expand_1/BiasAdd;efficientnetv2-s_1/block4a_se_expand_1/convolution;efficientnetv2-s_1/block4a_se_expand_1/Squeeze,1 1 1 256,1024
420,efficientnetv2-s_1/block4a_se_expand_1/Sigmoid,1 1 1 256,1024
421,efficientnetv2-s_1/block4a_se_excite_1/Mul,1 24 24 256,589824
422,efficientnetv2-s_1/block4a_project_bn_1/batchnorm/add_1;efficientnetv2-s_1/block4a_project_conv_1/convolution;efficientnetv2-s_1/block4a_project_bn_1/batchnorm/sub,1 24 24 128,294912
423,efficientnetv2-s_1/block4b_expand_bn_1/batchnorm/add_1;efficientnetv2-s_1/block4b_expand_conv_1/convolution;efficientnetv2-s_1/block4b_expand_bn_1/batchnorm/sub,1 24 24 512,1179648
424,efficientnetv2-s_1/block4b_expand_activation_1/Sigmoid,1 24 24 512,1179648
425,efficientnetv2-s_1/block4b_expand_activation_1/mul_1,1 24 24 512,1179648
426,efficientnetv2-s_1/block4b_bn_1/batchnorm/add_1;efficientnetv2-s_1/block4b_bn_1/batchnorm/mul_1;efficientnetv2-s_1/block4b_dwconv2_1/depthwise;efficientnetv2-s_1/block4b_bn_1/batchnorm/mul;efficientnetv2-s_1/block4b_bn_1/batchnorm/sub,1 24 24 512,1179648
427,efficientnetv2-s_1/block4b_activation_1/Sigmoid,1 24 24 512,1179648
428,efficientnetv2-s_1/block4b_activation_1/mul_1,1 24 24 512,1179648
429,efficientnetv2-s_1/block4b_se_squeeze_1/Mean,1 512,2048
430,efficientnetv2-s_1/block4b_se_reshape_1/Shape,2,8
431,efficientnetv2-s_1/block4b_se_reshape_1/strided_slice,,4
432,efficientnetv2-s_1/block4b_se_reshape_1/Reshape/shape,4,16
433,efficientnetv2-s_1/block4b_se_reshape_1/Reshape,1 1 1 512,2048
434,efficientnetv2-s_1/block4b_se_reduce_1/BiasAdd;efficientnetv2-s_1/block4b_se_reduce_1/convolution;efficientnetv2-s_1/block4b_se_reduce_1/Squeeze,1 1 1 32,128
435,efficientnetv2-s_1/block4b_se_reduce_1/Sigmoid,1 1 1 32,128
436,efficientnetv2-s_1/block4b_se_reduce_1/mul_1,1 1 1 32,128
437,efficientnetv2-s_1/block4b_se_expand_1/BiasAdd;efficientnetv2-s_1/block4b_se_expand_1/convolution;efficientnetv2-s_1/block4b_se_expand_1/Squeeze,1 1 1 512,2048
438,efficientnetv2-s_1/block4b_se_expand_1/Sigmoid,1 1 1 512,2048
439,efficientnetv2-s_1/block4b_se_excite_1/Mul,1 24 24 512,1179648
440,efficientnetv2-s_1/block4b_project_bn_1/batchnorm/add_1;efficientnetv2-s_1/block4b_project_conv_1/convolution;efficientnetv2-s_1/block4b_project_bn_1/batchnorm/sub,1 24 24 128,294912
441,efficientnetv2-s_1/block4b_add_1/Add,1 24 24 128,294912
442,efficientnetv2-s_1/block4c_expand_bn_1/batchnorm/add_1;efficientnetv2-s_1/block4c_expand_conv_1/convolution;efficientnetv2-s_1/block4c_expand_bn_1/batchnorm/sub,1 24 24 512,1179648
443,efficientnetv2-s_1/block4c_expand_activation_1/Sigmoid,1 24 24 512,1179648
444,efficientnetv2-s_1/block4c_expand_activation_1/mul_1,1 24 24 512,1179648
445,efficientnetv2-s_1/block4c_bn_1/batchnorm/add_1;efficientnetv2-s_1/block4c_bn_1/batchnorm/mul_1;efficientnetv2-s_1/block4c_dwconv2_1/depthwise;efficientnetv2-s_1/block4c_bn_1/batchnorm/mul;efficientnetv2-s_1/block4c_bn_1/batchnorm/sub,1 24 24 512,1179648
446,efficientnetv2-s_1/block4c_activation_1/Sigmoid,1 24 24 512,1179648
447,efficientnetv2-s_1/block4c_activation_1/mul_1,1 24 24 512,1179648
448,efficientnetv2-s_1/block4c_se_squeeze_1/Mean,1 512,2048
449,efficientnetv2-s_1/block4c_se_reshape_1/Shape,2,8
450,efficientnetv2-s_1/block4c_se_reshape_1/strided_slice,,4
451,efficientnetv2-s_1/block4c_se_reshape_1/Reshape/shape,4,16
452,efficientnetv2-s_1/block4c_se_reshape_1/Reshape,1 1 1 512,2048
453,efficientnetv2-s_1/block4c_se_reduce_1/BiasAdd;efficientnetv2-s_1/block4c_se_reduce_1/convolution;efficientnetv2-s_1/block4c_se_reduce_1/Squeeze,1 1 1 32,128
454,efficientnetv2-s_1/block4c_se_reduce_1/Sigmoid,1 1 1 32,128
455,efficientnetv2-s_1/block4c_se_reduce_1/mul_1,1 1 1 32,128
456,efficientnetv2-s_1/block4c_se_expand_1/BiasAdd;efficientnetv2-s_1/block4c_se_expand_1/convolution;efficientnetv2-s_1/block4c_se_expand_1/Squeeze,1 1 1 512,2048
457,efficientnetv2-s_1/block4c_se_expand_1/Sigmoid,1 1 1 512,2048
458,efficientnetv2-s_1/block4c_se_excite_1/Mul,1 24 24 512,1179648
459,efficientnetv2-s_1/block4c_project_bn_1/batchnorm/add_1;efficientnetv2-s_1/block4c_project_conv_1/convolution;efficientnetv2-s_1/block4c_project_bn_1/batchnorm/sub,1 24 24 128,294912
460,efficientnetv2-s_1/block4c_add_1/Add,1 24 24 128,294912
461,efficientnetv2-s_1/block4d_expand_bn_1/batchnorm/add_1;efficientnetv2-s_1/block4d_expand_conv_1/convolution;efficientnetv2-s_1/block4d_expand_bn_1/batchnorm/sub,1 24 24 512,1179648
462,efficientnetv2-s_1/block4d_expand_activation_1/Sigmoid,1 24 24 512,1179648
463,efficientnetv2-s_1/block4d_expand_activation_1/mul_1,1 24 24 512,1179648
464,efficientnetv2-s_1/block4d_bn_1/batchnorm/add_1;efficientnetv2-s_1/block4d_bn_1/batchnorm/mul_1;efficientnetv2-s_1/block4d_dwconv2_1/depthwise;efficientnetv2-s_1/block4d_bn_1/batchnorm/mul;efficientnetv2-s_1/block4d_bn_1/batchnorm/sub,1 24 24 512,1179648
465,efficientnetv2-s_1/block4d_activation_1/Sigmoid,1 24 24 512,1179648
466,efficientnetv2-s_1/block4d_activation_1/mul_1,1 24 24 512,1179648
467,efficientnetv2-s_1/block4d_se_squeeze_1/Mean,1 512,2048
468,efficientnetv2-s_1/block4d_se_reshape_1/Shape,2,8
469,efficientnetv2-s_1/block4d_se_reshape_1/strided_slice,,4
470,efficientnetv2-s_1/block4d_se_reshape_1/Reshape/shape,4,16
471,efficientnetv2-s_1/block4d_se_reshape_1/Reshape,1 1 1 512,2048
