Operator,Working set,Memory use,MACs
MobileNetV3Large_1/expanded_conv_5_squeeze_excite_relu_1/Relu;MobileNetV3Large_1/expanded_conv_5_squeeze_excite_conv_1/BiasAdd;MobileNetV3Large_1/expanded_conv_5_squeeze_excite_conv_1/convolution;,168 170 171 172,1248,3840
MobileNetV3Large_1/re_lu_13_1/Relu6;MobileNetV3Large_1/Add_2;MobileNetV3Large_1/expanded_conv_5_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Large_1/expanded_conv_5_squeeze_excite_conv_1_2/convolution;,168 170 172 173,1248,3840
MobileNetV3Large_1/Mul_2,168 170 173 174,1600,0
MobileNetV3Large_1/expanded_conv_5_squeeze_excite_mul_1/Mul,168 170 174 175,1600,0
MobileNetV3Large_1/expanded_conv_5_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_5_project_1/convolution;,168 175 176,800,4800
MobileNetV3Large_1/expanded_conv_5_add_1/Add,168 176 177,480,40
MobileNetV3Large_1/expanded_conv_6_expand_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_6_expand_1/convolution;,177 178,1120,9600
MobileNetV3Large_1/activation_1_2/mul;;MobileNetV3Large_1/activation_1_2/Relu6;MobileNetV3Large_1/activation_1_2/add;MobileNetV3Large_1/activation_1_2/truediv,178 179,1920,0
MobileNetV3Large_1/expanded_conv_6_depthwise_pad_1/Pad,179 180,1920,0
MobileNetV3Large_1/expanded_conv_6_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_6_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_6_depthwise_1/depthwise;,180 181,1920,2160
MobileNetV3Large_1/activation_2_1/mul;;MobileNetV3Large_1/activation_2_1/Relu6;MobileNetV3Large_1/activation_2_1/add;MobileNetV3Large_1/activation_2_1/truediv,181 182,1920,0
MobileNetV3Large_1/expanded_conv_6_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_6_project_1/convolution;,182 183,1280,19200
MobileNetV3Large_1/expanded_conv_7_expand_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_7_expand_1/convolution;,183 184,1120,16000
MobileNetV3Large_1/activation_3_1/mul;;MobileNetV3Large_1/activation_3_1/Relu6;MobileNetV3Large_1/activation_3_1/add;MobileNetV3Large_1/activation_3_1/truediv,183 184 185,1920,0
MobileNetV3Large_1/expanded_conv_7_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_7_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_7_depthwise_1/depthwise;,183 185 186,1920,1800
MobileNetV3Large_1/activation_4_1/mul;;MobileNetV3Large_1/activation_4_1/Relu6;MobileNetV3Large_1/activation_4_1/add;MobileNetV3Large_1/activation_4_1/truediv,183 186 187,1920,0
MobileNetV3Large_1/expanded_conv_7_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_7_project_1/convolution;,183 187 188,1440,16000
MobileNetV3Large_1/expanded_conv_7_add_1/Add,183 188 189,960,80
MobileNetV3Large_1/expanded_conv_8_expand_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_8_expand_1/convolution;,189 190,1056,14720
MobileNetV3Large_1/activation_5_1/mul;;MobileNetV3Large_1/activation_5_1/Relu6;MobileNetV3Large_1/activation_5_1/add;MobileNetV3Large_1/activation_5_1/truediv,189 190 191,1792,0
MobileNetV3Large_1/expanded_conv_8_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_8_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_8_depthwise_1/depthwise;,189 191 192,1792,1656
MobileNetV3Large_1/activation_6_1/mul;;MobileNetV3Large_1/activation_6_1/Relu6;MobileNetV3Large_1/activation_6_1/add;MobileNetV3Large_1/activation_6_1/truediv,189 192 193,1792,0
MobileNetV3Large_1/expanded_conv_8_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_8_project_1/convolution;,189 193 194,1376,14720
MobileNetV3Large_1/expanded_conv_8_add_1/Add,189 194 195,960,80
